Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-05-26,BAJAJ-AUTO,EQ,2101.05,898,898,551.35,600.25,604.75,624.61,3972485,248124475790000,,1202933,0.3028
2008-05-27,BAJAJ-AUTO,EQ,604.75,624.7,639,580.3,595.5,593.15,606.43,1751063,106190068700000,,369389,0.211
2008-05-28,BAJAJ-AUTO,EQ,593.15,561.65,621.9,561.65,605.1,608.15,608.75,1652355,100587748930000,,898602,0.5438
2008-05-29,BAJAJ-AUTO,EQ,608.15,619.4,619.4,576,600,599.45,600.98,669269,40221651265000,,449951,0.6723
2008-05-30,BAJAJ-AUTO,EQ,599.45,605.4,607,538,576.25,571.7,565.55,1262117,71379372060000,,936432,0.742
2008-06-02,BAJAJ-AUTO,EQ,571.7,605.5,615,570.7,573,580.8,598.3,206640,12363260330000,,69415,0.3359
2008-06-03,BAJAJ-AUTO,EQ,580.8,596,602,555.15,577,579.7,575.83,157283,9056802440000,,106984,0.6802
2008-06-04,BAJAJ-AUTO,EQ,579.7,597.85,597.85,547.5,550,552.1,563.64,326450,18399934815000,,238952,0.732
2008-06-05,BAJAJ-AUTO,EQ,552.1,553,588.8,532.4,548,562.4,560.7,238915,13396034935000,,140638,0.5887
2008-06-06,BAJAJ-AUTO,EQ,562.4,567,574.7,544.4,572,568.8,564.38,73920,4171902765000,,35676,0.4826
2008-06-09,BAJAJ-AUTO,EQ,568.8,575,575,524,552,548.8,545.82,321199,17531756775000,,267438,0.8326
2008-06-10,BAJAJ-AUTO,EQ,548.8,575.5,575.5,547,550,550.4,551.58,58118,3205674290000,,42432,0.7301
2008-06-11,BAJAJ-AUTO,EQ,550.4,560,560,528,528.2,530.5,536.09,87793,4706466500000,,55519,0.6324
2008-06-12,BAJAJ-AUTO,EQ,530.5,511,527,510.7,520,519.45,518.85,50729,2632060805000,,35708,0.7039
2008-06-13,BAJAJ-AUTO,EQ,519.45,514.25,525,501.2,508,505.9,508.57,123934,6302918305000,,98980,0.7987
