Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,BAJAUTOFIN,EQ,46.95,49.45,50.75,46.5,50.75,50.75,50.05,7600,38038000000,,,
2000-01-04,BAJAUTOFIN,EQ,50.75,53.2,53.2,47.9,48,48.1,48.56,5000,24280000000,,,
2000-01-05,BAJAUTOFIN,EQ,48.1,46.55,47.4,44.6,44.6,44.6,45.47,3500,15914500000,,,
2000-01-06,BAJAUTOFIN,EQ,44.6,43.5,46,42.1,46,45.25,44.43,6200,27547500000,,,
2000-01-07,BAJAUTOFIN,EQ,45.25,48,48,42,42.9,42.9,44.44,3500,15555500000,,,
2000-01-10,BAJAUTOFIN,EQ,42.9,42.05,44.9,41,43,42.9,42.47,4700,19961000000,,,
2000-01-11,BAJAUTOFIN,EQ,42.9,42,42,39.5,40.25,40.1,40.25,5500,22139000000,,,
2000-01-12,BAJAUTOFIN,EQ,40.1,40,40,39,39,39,39.8,1000,3980000000,,,
2000-01-13,BAJAUTOFIN,EQ,39,40,41,38.5,39.5,39.5,39.37,1000,3937000000,,,
2000-01-14,BAJAUTOFIN,EQ,39.5,39,40.5,39,39.9,39.9,39.72,1700,6752000000,,,
2000-01-17,BAJAUTOFIN,EQ,39.9,39.05,41,38.4,39.2,39.2,39.84,3100,12349500000,,,
2000-01-18,BAJAUTOFIN,EQ,39.2,39.5,40,38.05,38.3,38.3,39.2,3000,11761000000,,,
2000-01-19,BAJAUTOFIN,EQ,38.3,40.9,41.4,39.25,41.4,41.4,40.57,4500,18258000000,,,
2000-01-20,BAJAUTOFIN,EQ,41.4,42,44.5,42,43,43,43.68,6400,27955500000,,,
2000-01-21,BAJAUTOFIN,EQ,43,46.4,46.4,42,42.95,42.95,42.63,3100,13215000000,,,
2000-01-24,BAJAUTOFIN,EQ,42.95,42.5,43,40.05,40.05,40.05,41.3,3100,12802000000,,,
2000-01-25,BAJAUTOFIN,EQ,40.05,39.2,40,36.85,38.6,37.7,38.41,6400,24584500000,,,
2000-01-27,BAJAUTOFIN,EQ,37.7,38.9,40.7,37.55,39,39,39.38,7600,29926000000,,,
2000-01-28,BAJAUTOFIN,EQ,39,40,40,38.05,38.15,38.65,38.55,3700,14263500000,,,
2000-01-31,BAJAUTOFIN,EQ,38.65,38,38,37,37,37.05,37.25,3500,13039000000,,,
2000-02-01,BAJAUTOFIN,EQ,37.05,37,38.4,36,36,36.05,36.71,6300,23127000000,,,
2000-02-02,BAJAUTOFIN,EQ,36.05,35,37.75,35,37.7,37.7,36.01,4000,14404500000,,,
2000-02-03,BAJAUTOFIN,EQ,37.7,37.9,40,36.55,37.2,37.2,37.66,4800,18077000000,,,
2000-02-04,BAJAUTOFIN,EQ,37.2,37.8,38.35,37.1,38.35,37.95,37.69,3000,11307000000,,,
2000-02-07,BAJAUTOFIN,EQ,37.95,37.35,40.2,37.35,38.25,38.75,39.09,5400,21108500000,,,
2000-02-08,BAJAUTOFIN,EQ,38.75,39.9,41.7,38,39.5,38.7,38.48,5100,19624000000,,,
2000-02-09,BAJAUTOFIN,EQ,38.7,41.6,41.8,40.9,41.8,41.8,41.67,7100,29584000000,,,
2000-02-10,BAJAUTOFIN,EQ,41.8,45.15,45.15,42.65,45.15,45.15,43.91,13200,57956500000,,,
2000-02-11,BAJAUTOFIN,EQ,45.15,48.8,48.8,48,48.8,48.8,48.73,10700,52138500000,,,
2000-02-14,BAJAUTOFIN,EQ,48.8,50.75,50.75,44.9,44.9,44.9,47.09,4800,22601500000,,,
2000-02-15,BAJAUTOFIN,EQ,44.9,42.05,43,41.35,41.35,41.35,41.69,6200,25848000000,,,
2000-02-16,BAJAUTOFIN,EQ,41.35,38.3,41.5,38.3,39.95,39.7,40.54,6000,24326500000,,,
2000-02-17,BAJAUTOFIN,EQ,39.7,38.7,42.8,38.7,41.7,41.4,40.69,4600,18719500000,,,
