Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,BRITANNIA,EQ,703.25,705,759.5,705,758,756.9,741.01,7512,556648765000,,,
2000-01-04,BRITANNIA,EQ,756.9,710,770,710,740,754.55,742.52,8135,604039070000,,,
2000-01-05,BRITANNIA,EQ,754.55,755,759,705,740,735.3,739.92,6095,450978430000,,,
2000-01-06,BRITANNIA,EQ,735.3,740,794.15,740,770,785.65,788.83,19697,1553755555000,,,
2000-01-07,BRITANNIA,EQ,785.65,808,848.5,798,848.5,848.5,827.53,33107,2739708030000,,,
2000-01-10,BRITANNIA,EQ,848.5,900,916.4,865,916.4,912.2,905.42,29575,2677784025000,,,
2000-01-11,BRITANNIA,EQ,912.2,920,920,839.25,865,853.75,858.02,20635,1770515830000,,,
2000-01-12,BRITANNIA,EQ,853.75,900,900,860.55,890.95,882.7,885.18,9312,824275625000,,,
2000-01-13,BRITANNIA,EQ,882.7,890,920,875,885,881.4,898.96,19526,1755312510000,,,
2000-01-14,BRITANNIA,EQ,881.4,872.5,880,864,870,869.65,873.91,15675,1369847005000,,,
2000-01-17,BRITANNIA,EQ,869.65,880,890,870,878,875.95,881,7125,627709975000,,,
2000-01-18,BRITANNIA,EQ,875.95,870.1,899,868,890,881.05,880.59,12526,1103028770000,,,
2000-01-19,BRITANNIA,EQ,881.05,889,911,889,906.5,900.85,901.81,14108,1272275700000,,,
2000-01-20,BRITANNIA,EQ,900.85,907,919.9,893.55,894,895.7,905.26,5671,513373240000,,,
2000-01-21,BRITANNIA,EQ,895.7,897.9,897.9,885.25,890,888.25,888.42,1888,167733625000,,,
2000-01-24,BRITANNIA,EQ,888.25,880,895,851,886,884.75,877.38,6351,557221075000,,,
2000-01-25,BRITANNIA,EQ,884.75,871,890,870,870,881.25,878.74,6859,602726660000,,,
2000-01-27,BRITANNIA,EQ,881.25,865.9,885,810.75,825.15,830.3,833.19,14678,1222953695000,,,
2000-01-28,BRITANNIA,EQ,830.3,800,815,782,790,792.45,796.65,6418,511293065000,,,
2000-01-31,BRITANNIA,EQ,792.45,778.65,788,729.25,752,746.75,759.2,5416,411183495000,,,
2000-02-01,BRITANNIA,EQ,746.75,751,759,721,725,731.5,738.07,7347,542263470000,,,
2000-02-02,BRITANNIA,EQ,731.5,740,752,700,735,731.05,739.03,4939,365004875000,,,
2000-02-03,BRITANNIA,EQ,731.05,750,750,695,715,714.15,713.32,11619,828807280000,,,
2000-02-04,BRITANNIA,EQ,714.15,720,720,706,715,713.5,711.8,13147,935798410000,,,
2000-02-07,BRITANNIA,EQ,713.5,701,717,700,704.8,701.7,708.3,7195,509621615000,,,
2000-02-08,BRITANNIA,EQ,701.7,704,704,680,683,685.5,687.66,15083,1037202495000,,,
2000-02-09,BRITANNIA,EQ,685.5,714,740.35,695,704.1,707.4,711.68,23357,1662261475000,,,
2000-02-10,BRITANNIA,EQ,707.4,719,730,707,715,712.1,715.42,11341,811360210000,,,
2000-02-11,BRITANNIA,EQ,712.1,723,729,700,710,704.15,712.06,20795,1480718980000,,,
2000-02-14,BRITANNIA,EQ,704.15,710,711,690,693,690.6,696.07,7765,540501365000,,,
2000-02-15,BRITANNIA,EQ,690.6,681,681,640,668,653.3,657.71,18622,1224789220000,,,
2000-02-16,BRITANNIA,EQ,653.3,670,680,662,680,674.7,671.57,10876,730403075000,,,
2000-02-17,BRITANNIA,EQ,674.7,670,698,670,674,677,679.09,8926,606158925000,,,
2000-02-18,BRITANNIA,EQ,677,670,694.9,661,675,667.05,670.66,11460,768575640000,,,
2000-02-21,BRITANNIA,EQ,667.05,675,690,655,670,665.7,669.13,7993,534831670000,,,
2000-02-22,BRITANNIA,EQ,665.7,670,670,655,659.9,657.45,660.67,11142,736118440000,,,
2000-02-23,BRITANNIA,EQ,657.45,658,680,655,670,665.65,668.06,5793,387009975000,,,
2000-02-24,BRITANNIA,EQ,665.65,675,677,642,665,662.1,658.93,8205,540654455000,,,
2000-02-25,BRITANNIA,EQ,662.1,674,674,640,645,641.85,654.42,6346,415294145000,,,
2000-02-28,BRITANNIA,EQ,641.85,640,656,609.15,634.5,635.85,640.47,9071,580968260000,,,
2000-02-29,BRITANNIA,EQ,635.85,650,659.85,605,605,611.5,634.25,16183,1026404695000,,,
2000-03-01,BRITANNIA,EQ,611.5,625,625,562.6,562.6,562.6,569.89,9303,530165975000,,,
2000-03-02,BRITANNIA,EQ,562.6,527,530,517.6,517.6,517.6,518.26,8703,451039380000,,,
2000-03-03,BRITANNIA,EQ,517.6,476.2,545.45,476.2,500,504.6,487.22,26306,1281684950000,,,
2000-03-06,BRITANNIA,EQ,504.6,525,525,464.25,476.25,475.3,481.61,18609,896227985000,,,
2000-03-07,BRITANNIA,EQ,475.3,479.9,490,462,470,469.35,474.37,17834,845994595000,,,
2000-03-08,BRITANNIA,EQ,469.35,488,506.45,465.1,494,489.4,490.24,39317,1927476630000,,,
2000-03-09,BRITANNIA,EQ,489.4,500,500,475,499.75,499.65,480.96,34910,1679046880000,,,
2000-03-10,BRITANNIA,EQ,499.65,500,517.9,470,490,486.15,487.73,36935,1801447300000,,,
2000-03-13,BRITANNIA,EQ,486.15,500,520,487,512,512,504.55,13605,686440420000,,,
2000-03-14,BRITANNIA,EQ,512,510,530,490,528.75,519.95,497.86,30386,1512800845000,,,
2000-03-15,BRITANNIA,EQ,519.95,520,561.55,520,543,540.1,548.53,16605,910826175000,,,
2000-03-16,BRITANNIA,EQ,540.1,547.6,559.85,520,540,543.65,537.44,9879,530937105000,,,
2000-03-21,BRITANNIA,EQ,543.65,550,554.95,535.1,545,544.85,545.73,22765,1242352925000,,,
2000-03-22,BRITANNIA,EQ,544.85,563,587,558,575,573.25,567.46,19318,1096214870000,,,
2000-03-23,BRITANNIA,EQ,573.25,590,595,572.25,580,579.45,578.37,19081,1103594640000,,,
2000-03-24,BRITANNIA,EQ,579.45,581,613,581,595,599.3,595.86,10517,626665400000,,,
2000-03-27,BRITANNIA,EQ,599.3,609,642,595,642,636.6,625.69,14160,885977680000,,,
2000-03-28,BRITANNIA,EQ,636.6,640.1,651,622.25,630,629.6,630.97,12543,791425880000,,,
2000-03-29,BRITANNIA,EQ,629.6,654,675,625,640,643.65,646.73,19000,1228778625000,,,
2000-03-30,BRITANNIA,EQ,643.65,625,635,605,618,621.2,620.65,13117,814106460000,,,
2000-03-31,BRITANNIA,EQ,621.2,624,629.9,605,620,619.8,616.52,9611,592537075000,,,
2000-04-03,BRITANNIA,EQ,619.8,612,618,571.55,602,601.35,604.59,6724,406528085000,,,
2000-04-04,BRITANNIA,EQ,601.35,575,589,555,575,567.8,568.82,14661,833940600000,,,
2000-04-05,BRITANNIA,EQ,567.8,560,590,560,580,578.8,579.13,4633,268310900000,,,
2000-04-06,BRITANNIA,EQ,578.8,581.05,600,566.05,589.9,590.5,583.38,8586,500886130000,,,
2000-04-07,BRITANNIA,EQ,590.5,605,610,580,595,597.35,596.56,9008,537382080000,,,
2000-04-10,BRITANNIA,EQ,597.35,601,607.9,572.2,578,581.45,584.62,8021,468920295000,,,
2000-04-11,BRITANNIA,EQ,581.45,572.2,588,570,575.1,577.9,572.81,9696,555395205000,,,
2000-04-12,BRITANNIA,EQ,577.9,584,584,566,567,571.2,570.5,4765,271843735000,,,
2000-04-13,BRITANNIA,EQ,571.2,555.1,575,555.1,574,571.85,568.86,7322,416516665000,,,
2000-04-17,BRITANNIA,EQ,571.85,560,560,526.1,526.1,526.1,527.5,7624,402164335000,,,
2000-04-18,BRITANNIA,EQ,526.1,532,539,491.1,506,505.5,509.69,20552,1047509015000,,,
2000-04-19,BRITANNIA,EQ,505.5,539.9,539.9,510,518,521.2,519,5284,274239590000,,,
2000-04-20,BRITANNIA,EQ,521.2,525,548,503.05,534.9,530.15,518.88,7904,410121545000,,,
2000-04-24,BRITANNIA,EQ,530.15,528,528,505,509.8,505.95,509.7,6788,345982210000,,,
2000-04-25,BRITANNIA,EQ,505.95,505,520,505,520,508.95,508.56,16236,825690795000,,,
2000-04-26,BRITANNIA,EQ,508.95,519.9,524,512,518,520.7,519.86,9704,504469045000,,,
2000-04-27,BRITANNIA,EQ,520.7,511,520,507,512,510.15,511.95,4809,246195185000,,,
2000-04-28,BRITANNIA,EQ,510.15,520,520,505,509,505.45,505.72,9443,477548280000,,,
2000-05-02,BRITANNIA,EQ,505.45,502,513.95,495,505,505.45,501.62,10962,549871435000,,,
2000-05-03,BRITANNIA,EQ,505.45,492.05,505,485,503.85,495.85,492.91,7994,394030160000,,,
2000-05-04,BRITANNIA,EQ,495.85,520,546,506,536,533.3,534.8,8114,433932725000,,,
2000-05-05,BRITANNIA,EQ,533.3,540,589,528,576.05,578.6,570.25,28372,1617901895000,,,
2000-05-08,BRITANNIA,EQ,578.6,590,608,580.25,585.3,590.4,593.56,19417,1152512880000,,,
2000-05-09,BRITANNIA,EQ,590.4,579,595,565,587.05,589.8,583.31,9058,528358410000,,,
2000-05-10,BRITANNIA,EQ,589.8,608,608,580,590,590.15,590.07,8561,505158410000,,,
2000-05-11,BRITANNIA,EQ,590.15,584,609.95,551.5,609.95,593.8,581.55,15755,916230490000,,,
2000-05-12,BRITANNIA,EQ,593.8,595,600,565,571,570.15,579.58,14842,860216735000,,,
2000-05-15,BRITANNIA,EQ,570.15,555,558,525.05,541,540.15,540.77,20010,1082087875000,,,
2000-05-16,BRITANNIA,EQ,540.15,531,545,505.15,516,515.9,534.61,28934,1546848085000,,,
2000-05-17,BRITANNIA,EQ,515.9,530,540,488,513.75,512,507.46,24727,1254801565000,,,
2000-05-18,BRITANNIA,EQ,512,513.75,514.95,502,510.75,510.7,508.68,2875,146245510000,,,
2000-05-19,BRITANNIA,EQ,510.7,491,511.95,485,498,501.85,501.28,5496,275502635000,,,
2000-05-22,BRITANNIA,EQ,501.85,481.1,502.7,481.1,499.9,499.05,497.24,4529,225199900000,,,
2000-05-23,BRITANNIA,EQ,499.05,500,504.8,493,500,499.65,499.54,22684,1133165295000,,,
2000-05-24,BRITANNIA,EQ,499.65,495,507.9,490,504.9,501.75,500.85,5753,288137150000,,,
2000-05-25,BRITANNIA,EQ,501.75,501,535,501,509.05,509.9,507.47,10167,515944060000,,,
2000-05-26,BRITANNIA,EQ,509.9,510,550.7,504.2,550,549.55,522.12,30464,1590585005000,,,
