Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,ITC,EQ,656,694,708.5,675,708.5,708.5,701.81,562715,39491742195000,,,
2000-01-04,ITC,EQ,708.5,714,729,694.3,710.65,712.35,714.16,712637,50893789485000,,,
2000-01-05,ITC,EQ,712.35,716.25,758.9,660,731,726.2,732.43,1382149,101232477810000,,,
2000-01-06,ITC,EQ,726.2,741,784.3,741,784.3,784.3,776.63,721618,56042663465000,,,
2000-01-07,ITC,EQ,784.3,832.4,847.05,824,847.05,847.05,841.25,231209,19450459595000,,,
2000-01-10,ITC,EQ,847.05,911.15,914.85,875,914.85,914.85,907.23,1219818,110665283920000,,,
2000-01-11,ITC,EQ,914.85,902,952,866.1,877,883.7,908.61,2376154,215900790480000,,,
2000-01-12,ITC,EQ,883.7,905,924,870.3,895,888.35,891.48,616366,54947542470000,,,
2000-01-13,ITC,EQ,888.35,900,936,871,876.95,879.75,908.42,667073,60598440045000,,,
2000-01-14,ITC,EQ,879.75,879.9,903.7,863.2,894,887.55,883.15,575381,50814658380000,,,
2000-01-17,ITC,EQ,887.55,904.95,904.95,816.55,816.55,817.35,839.35,1763903,148052783255000,,,
2000-01-18,ITC,EQ,817.35,806,830,796,826.5,821.35,816.85,807421,65954576720000,,,
2000-01-19,ITC,EQ,821.35,830,848,801,822.1,826.1,832.91,426440,35518439735000,,,
2000-01-20,ITC,EQ,826.1,830,830,778.7,785,786.1,798.47,485044,38729510965000,,,
2000-01-21,ITC,EQ,786.1,785,845.9,785,830,831.55,825.3,1200922,99112386030000,,,
2000-01-24,ITC,EQ,831.55,836,858,782.5,785,792.45,831.41,1546995,128618406984999,,,
2000-01-25,ITC,EQ,792.45,780,780,729.05,730.5,729.55,735.14,1241015,91231960845000,,,
2000-01-27,ITC,EQ,729.55,751,787.95,680,765,778.85,757.15,1868015,141436163275000,,,
2000-01-28,ITC,EQ,778.85,767,767,716.55,716.55,719.2,738.09,1276603,94225210375000,,,
2000-01-31,ITC,EQ,719.2,711,728,685,688,692.2,706.22,993321,70150184180000,,,
2000-02-01,ITC,EQ,692.2,697,721.75,691,704,701.55,707.4,1154968,81702190340000,,,
2000-02-02,ITC,EQ,701.55,720,732.7,712,714.95,714.05,722.27,600607,43380046945000,,,
2000-02-03,ITC,EQ,714.05,721,726,705,709.95,709.1,715.57,357056,25550013910000,,,
2000-02-04,ITC,EQ,709.1,713,719.8,691,699,695.5,703.28,438192,30817076265000,,,
2000-02-07,ITC,EQ,695.5,708.5,751.15,708.5,751.15,747.3,741.06,967422,71691577005000,,,
2000-02-08,ITC,EQ,747.3,761.1,798,756,763,763.25,775.9,969144,75196347755000,,,
2000-02-09,ITC,EQ,763.25,784.4,824.35,772,824.35,824.35,816.02,677696,55301616920000,,,
2000-02-10,ITC,EQ,824.35,890.3,890.3,890.3,890.3,890.3,890.3,20323,1809356690000,,,
2000-02-11,ITC,EQ,890.3,961.55,961.55,961.55,961.55,961.55,961.55,43319,4165338445000,,,
2000-02-14,ITC,EQ,961.55,998.4,1037,902,930,932.55,949.03,1122348,106514646310000,,,
2000-02-15,ITC,EQ,932.55,925,1007.15,910,1007.15,1006.5,984.91,1468348,144619677650000,,,
2000-02-16,ITC,EQ,1006.5,1029.6,1067,975,990,997.2,1004.21,1639575,164648297940000,,,
2000-02-17,ITC,EQ,997.2,999,1054.9,992.05,1030,1030.1,1033.46,1924843,198924146345000,,,
2000-02-18,ITC,EQ,1030.1,1035,1050,947.7,970,956.8,995.09,1091697,108633231945000,,,
2000-02-21,ITC,EQ,956.8,990,1008,960,980,979.9,985.88,972386,95865677020000,,,
2000-02-22,ITC,EQ,979.9,985,998.85,922.6,950,941.3,957.93,1088543,104274470650000,,,
2000-02-23,ITC,EQ,941.3,951,999,866,866,866.05,905.64,714522,64709914730000,,,
2000-02-24,ITC,EQ,866.05,866,880,811,860,842.7,840.14,595043,49992019960000,,,
2000-02-25,ITC,EQ,842.7,868.7,868.7,801,810,810.15,831.94,342968,28532739325000,,,
2000-02-28,ITC,EQ,810.15,820,838.85,786.1,802.45,803.5,813.72,333728,27156248785000,,,
