Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,TELCO,EQ,201.6,207.4,217.25,207.4,217,216.75,214.28,676126,14487752460000,,,
2000-01-04,TELCO,EQ,216.75,217,219,206,211.9,208.2,209.5,679215,14229618695000,,,
2000-01-05,TELCO,EQ,208.2,194,217.8,194,213.1,213.25,210.33,1120951,23576835995000,,,
2000-01-06,TELCO,EQ,213.25,215,229.9,215,222,222.1,225.29,1968998,44359324810000,,,
2000-01-07,TELCO,EQ,222.1,224,239.9,223.1,239.9,239.9,236.32,2199431,51976361765000,,,
2000-01-10,TELCO,EQ,239.9,259,259.1,248,259.1,258.85,257.2,1720542,44253025760000,,,
2000-01-11,TELCO,EQ,258.85,260,260,238.15,238.15,238.15,246.63,1207916,29790818265000,,,
2000-01-12,TELCO,EQ,238.15,240,246,229,242.45,240.25,237.13,938579,22256459195000,,,
2000-01-13,TELCO,EQ,240.25,243,245,231.6,233,235.45,237.31,565754,13426092590000,,,
2000-01-14,TELCO,EQ,235.45,234.95,243,233,239.8,239.05,239.04,1024725,24495040200000,,,
2000-01-17,TELCO,EQ,239.05,242.95,258.1,242.95,251,250.65,252.65,1482994,37468336605000,,,
2000-01-18,TELCO,EQ,250.65,251,252.5,245.05,250,248,248.46,792347,19686656390000,,,
2000-01-19,TELCO,EQ,248,251,257.9,242.6,249.5,250.5,249.51,1221042,30466078260000,,,
2000-01-20,TELCO,EQ,250.5,250,250,233.6,234,235.7,242.37,557949,13523230465000,,,
2000-01-21,TELCO,EQ,235.7,230.1,233.8,225.5,231.1,232.2,230.09,696339,16021982135000,,,
2000-01-24,TELCO,EQ,232.2,230,235.9,213.65,213.65,213.65,223.44,1125168,25140781385000,,,
2000-01-25,TELCO,EQ,213.65,200.35,204.9,196.6,196.6,196.6,198.54,706121,14019448210000,,,
2000-01-27,TELCO,EQ,196.6,190,193,180.9,180.9,180.9,182.54,1728526,31552431125000,,,
2000-01-28,TELCO,EQ,180.9,171,182,168.35,175,175.2,174.95,2671887,46745717610000,,,
2000-01-31,TELCO,EQ,175.2,171.15,188.7,170.05,178.6,179.7,181.2,2850688,51653936380000,,,
2000-02-01,TELCO,EQ,179.7,179.9,184.9,172.1,176.1,175.3,177.04,1206216,21354696745000,,,
2000-02-02,TELCO,EQ,175.3,184,186.9,178.35,179.95,180.1,182.72,896220,16376162315000,,,
2000-02-03,TELCO,EQ,180.1,180,181.75,176.75,177.7,177.35,179.57,390462,7011483875000,,,
2000-02-04,TELCO,EQ,177.35,179,179.95,172.8,179.5,178.95,177.42,805045,14283252615000,,,
2000-02-07,TELCO,EQ,178.95,178.1,182.5,175.35,178,177.8,179.63,472973,8495897425000,,,
2000-02-08,TELCO,EQ,177.8,179,184.9,176.5,180.25,180.6,181,671633,12156270340000,,,
2000-02-09,TELCO,EQ,180.6,186,192,182,183.1,183.65,187.39,851000,15946510065000,,,
2000-02-10,TELCO,EQ,183.65,184.9,184.9,180,180.5,181.1,182.19,276973,5046209495000,,,
2000-02-11,TELCO,EQ,181.1,183.9,184.8,167.05,167.05,169.75,174.43,787181,13730978655000,,,
2000-02-14,TELCO,EQ,169.75,170,170,156.2,157.3,157.8,161.94,700837,11349297665000,,,
2000-02-15,TELCO,EQ,157.8,158.05,169,156,166,165.8,162.9,984192,16032293480000,,,
2000-02-16,TELCO,EQ,165.8,171.8,171.8,164.15,164.35,164.85,166.66,316694,5277969970000,,,
2000-02-17,TELCO,EQ,164.85,165,172,163.6,167,166.35,167.24,352975,5903216330000,,,
2000-02-18,TELCO,EQ,166.35,166,167,153.05,153.05,154.2,157.29,526451,8280412095000,,,
2000-02-21,TELCO,EQ,154.2,150,166.55,150,166.55,166.55,161.77,672967,10886733040000,,,
2000-02-22,TELCO,EQ,166.55,173.9,179.9,170.3,179.9,179.9,178.55,635878,11353415300000,,,
2000-02-23,TELCO,EQ,179.9,189.9,194,166.25,167.05,168.05,180.61,1254749,22661513405000,,,
2000-02-24,TELCO,EQ,168.05,170.9,174.9,165.95,169.3,170.25,170.14,469287,7984683660000,,,
2000-02-25,TELCO,EQ,170.25,174.45,183.9,166.55,183.9,182.9,178.97,892722,15976989295000,,,
2000-02-28,TELCO,EQ,182.9,184,184,174.1,182.3,181.05,180.23,651357,11739464680000,,,
2000-02-29,TELCO,EQ,181.05,180.05,183.4,166.6,166.6,166.6,174.15,835041,14542059195000,,,
2000-03-01,TELCO,EQ,166.6,167,172,154,160.7,157.6,162.06,1464975,23740808680000,,,
2000-03-02,TELCO,EQ,157.6,163,163.75,145.75,146.5,146.8,152.27,1313217,19995818530000,,,
2000-03-03,TELCO,EQ,146.8,137,141.9,135.1,135.25,135.1,136.26,1222358,16655727265000,,,
2000-03-06,TELCO,EQ,135.1,139.9,145.95,136.1,139.1,138.75,142.24,1705044,24251910305000,,,
2000-03-07,TELCO,EQ,138.75,130,139.6,130,131,132.1,133.55,1087675,14525591955000,,,
2000-03-08,TELCO,EQ,132.1,134,134.1,125,127.9,127.5,129.28,597334,7722204120000,,,
2000-03-09,TELCO,EQ,127.5,128,137.7,126.2,137.7,137.7,130.97,658855,8629253500000,,,
2000-03-10,TELCO,EQ,137.7,130,140,127.25,129.3,129.4,131.05,674480,8838859560000,,,
2000-03-13,TELCO,EQ,129.4,131.9,133.4,119.55,120.75,120.35,125.4,673380,8444197755000,,,
2000-03-14,TELCO,EQ,120.35,122.8,130,119.8,130,130,127.25,842598,10721834070000,,,
2000-03-15,TELCO,EQ,130,135,139.3,130,133.75,135.2,135.26,773900,10467955870000,,,
2000-03-16,TELCO,EQ,135.2,136,146.05,134,146,145.4,143.49,1108152,15900394410000,,,
2000-03-21,TELCO,EQ,145.4,143,153,135.25,148.6,149.55,146.6,1018963,14937606280000,,,
2000-03-22,TELCO,EQ,149.55,153,153.5,142.5,145.5,146.55,148.19,735518,10899801295000,,,
2000-03-23,TELCO,EQ,146.55,147,147.5,135.5,136.4,136.2,139.89,428079,5988298305000,,,
2000-03-24,TELCO,EQ,136.2,131.2,136.85,131.2,135.6,135.25,134.28,310258,4166212500000,,,
2000-03-27,TELCO,EQ,135.25,135,137.8,133.15,136,135.35,135.7,295252,4006485260000,,,
2000-03-28,TELCO,EQ,135.35,134.25,137,130.15,133.1,133.5,132.92,567466,7542908440000,,,
2000-03-29,TELCO,EQ,133.5,135.25,139.9,133,136,134.9,136.34,896538,12223404705000,,,
